From,To,Departure,Arrival,Duration,Airline,Seats Available,Price
Chennai,Delhi,17:00,19:40,2h 40m,Jet Airways,1,6900
Kolkata,Bangalore,21:40,00:10,2h 30m,Air India,1,7500
Bangalore,Kolkata,07:00,09:30,2h 30m,Jet Airways,2,4000
Delhi,Chennai,12:30,15:20,2h 50m,Air India,3,9000
Bangalore,Kolkata,17:00,19:00,2h,Air India,3,10000
Kolkata,Bangalore,21:30,00:10,2h 40m,Jet Airways,3,6300
Bangalore,Kolkata,06:00,08:00,2h,Indigo,5,6000
Delhi,Chennai,03:00,06:00,3h,Air India,7,8000
Chennai,Delhi,02:00,05:00,3h,Air India,10,7000
Kolkata,Bangalore,05:50,07:50,2h,Air India,12,5699
Delhi,Chennai,12:20,15:20,3h,Air India,12,9000
Bangalore,Kolkata,03:00,05:00,2h,Indigo,21,6500
Kolkata,Bangalore,05:50,08:00,2h 10m,Indigo,21,5700
Chennai,Delhi,16:50,19:00,2h 10m,Air India,24,5750
Delhi,Chennai,03:00,06:00,3h,Indigo,25,7999
Chennai,Delhi,05:00,08:00,3h,Air India,26,8000
Bangalore,Kolkata,18:00,21:00,3h,Air India,27,5000
Delhi,Chennai,03:00,06:05,3h 5m,Jet Airways,29,7500
Kolkata,Bangalore,02:30,04:50,2h 20m,Air India,36,4500
Chennai,Delhi,17:00,19:50,2h 50m,Indigo,56,4800
